,Name,Population,Veteran Count,Veteran Rate
0,Alabama,4876250.0,330207.0,6.771740579338631
1,Alaska,737068.0,65186.0,8.843960123082267
2,Arizona,7050299.0,488061.0,6.922557468839265
3,Arkansas,2999370.0,197138.0,6.572646922520396
4,California,39283497.0,1574531.0,4.008123309388673
5,Colorado,5610349.0,373795.0,6.662597995240581
6,Delaware,957248.0,65438.0,6.836055024403289
7,District of Columbia,692683.0,26156.0,3.776041854643466
8,Connecticut,3575074.0,167521.0,4.685805105013211
9,Florida,20901636.0,1440338.0,6.891029965309892
10,Georgia,10403847.0,629302.0,6.048743315813852
11,Idaho,1717750.0,116157.0,6.762159802066657
12,Hawaii,1422094.0,101975.0,7.170763676662724
13,Illinois,12770631.0,570264.0,4.46543322722268
14,Indiana,6665703.0,380690.0,5.711175550425814
15,Iowa,3139508.0,185671.0,5.914015826683672
16,Kansas,2910652.0,176444.0,6.062009474165926
17,Kentucky,4449052.0,267594.0,6.014629633458993
18,Louisiana,4664362.0,243335.0,5.2168978308287395
19,Maine,1335492.0,103776.0,7.770619367244431
20,Maryland,6018848.0,365356.0,6.070198150875384
21,Massachusetts,6850553.0,303534.0,4.43079558686722
22,Michigan,9965265.0,549526.0,5.514414318134039
23,Minnesota,5563378.0,300044.0,5.393198161261018
24,Mississippi,2984418.0,165538.0,5.546743117083465
25,Missouri,6104910.0,401779.0,6.581243621937096
26,Montana,1050649.0,85350.0,8.123550300814069
27,Nebraska,1914571.0,117466.0,6.1353692289290915
28,Nevada,2972382.0,207767.0,6.98991583181435
29,New Hampshire,1348124.0,96098.0,7.128276033955333
30,New Jersey,8878503.0,321991.0,3.6266361570188126
31,New Mexico,2092454.0,144977.0,6.928563304139542
32,New York,19572319.0,705924.0,3.606746855086513
33,North Carolina,10264876.0,659584.0,6.425640212312355
34,North Dakota,756717.0,46067.0,6.087744824022719
35,Ohio,11655397.0,709287.0,6.085481258167354
36,Oklahoma,3932870.0,270775.0,6.884921189868976
37,Oregon,4129803.0,283045.0,6.853716751138008
38,Pennsylvania,12791530.0,759474.0,5.9373194606118265
39,Rhode Island,1057231.0,54121.0,5.119127229526944
40,South Carolina,5020806.0,365139.0,7.272517599763862
41,South Dakota,870638.0,57550.0,6.610095125643493
42,Tennessee,6709356.0,431274.0,6.427949269646744
43,Texas,28260856.0,1453450.0,5.142979391707031
44,Vermont,624313.0,36988.0,5.9245923118692065
45,Utah,3096848.0,120447.0,3.8893416790233166
46,Virginia,8454463.0,677533.0,8.01390933995453
47,Washington,7404107.0,529784.0,7.155272067245922
48,West Virginia,1817305.0,130536.0,7.182943974731814
49,Wisconsin,5790716.0,331340.0,5.721917635055838
50,Wyoming,581024.0,44999.0,7.7447747425235445
51,Puerto Rico,3318447.0,76216.0,2.2967369977582885
