,Burglary Offenses
CA0300000,142
CA0300100,1123
CA0300200,169
CA0300300,230
CA0300400,450
CA0300500,98
CA0300600,41
CA0300700,163
CA0300800,318
CA0300900,627
CA0301000,535
CA0301100,43
CA0301200,188
CA0301300,41
CA0301400,273
CA0301500,387
CA0301600,275
CA0301700,160
CA0301800,69
CA0301900,854
CA0302000,62
CA0302100,83
CA0302200,241
CA0302300,9
CA0302400,511
CA0302500,140
CA0302600,574
CA0302700,8
CA030290X,2
CA0303200,102
CA030340X,0
CA030350X,121
CA030360X,61
CA030390X,105
CA030420X,82
CA030430X,108
CA030470X,20
CA030480X,34
CA030490X,57
CA0309600,2
CA0309700,19
CA0309900,2
