,Larceny Offenses
CA0300000,642
CA0300100,5904
CA0300200,1209
CA0300300,1567
CA0300400,2934
CA0300500,424
CA0300600,242
CA0300700,914
CA0300800,2479
CA0300900,2778
CA0301000,3280
CA0301100,261
CA0301200,789
CA0301300,73
CA0301400,1344
CA0301500,1546
CA0301600,511
CA0301700,700
CA0301800,201
CA0301900,4611
CA0302000,458
CA0302100,344
CA0302200,1694
CA0302300,35
CA0302400,1824
CA0302500,433
CA0302600,3086
CA0302700,194
CA030290X,2
CA0303200,45
CA030340X,0
CA030350X,689
CA030360X,311
CA030390X,463
CA030420X,288
CA030430X,503
CA030470X,96
CA030480X,250
CA030490X,351
CA0309600,9
CA0309700,437
CA0309900,35
